Hora_Anual,DNI_W_m2,H2_kg
847,0.0,0.0
848,273.94,0.4286
849,534.45,0.4286
850,751.17,0.4286
851,906.33,0.4286
852,987.23,0.4286
853,987.23,0.4286
854,906.33,0.4286
855,751.17,0.4286
856,534.45,0.4286
857,273.94,0.4286
858,0.0,0.0
859,0.0,0.0
860,0.0,0.0
861,0.0,0.0
862,0.0,0.0
863,0.0,0.0
864,0.0,0.0
865,0.0,0.0
866,0.0,0.0
867,0.0,0.0
868,0.0,0.0
869,0.0,0.0
870,0.0,0.0
871,0.0,0.0
872,290.55,0.4286
873,564.08,0.4286
874,791.54,0.4286
875,954.35,0.4286
876,1039.23,0.4286
877,1039.23,0.4286
878,954.35,0.4286
879,791.54,0.4286
880,564.08,0.4286
881,290.55,0.4286
882,0.0,0.0
883,0.0,0.0
884,0.0,0.0
885,0.0,0.0
886,0.0,0.0
887,0.0,0.0
888,0.0,0.0
889,0.0,0.0
890,0.0,0.0
891,0.0,0.0
892,0.0,0.0
893,0.0,0.0
894,0.0,0.0
895,0.0,0.0
896,292.76,0.4286
897,565.59,0.4286
898,792.38,0.4286
899,954.67,0.4286
900,1039.26,0.4286
901,1039.26,0.4286
902,954.67,0.4286
903,792.38,0.4286
904,565.59,0.4286
905,292.76,0.4286
906,0.0,0.0
907,0.0,0.0
908,0.0,0.0
909,0.0,0.0
910,0.0,0.0
911,0.0,0.0
912,0.0,0.0
913,0.0,0.0
914,0.0,0.0
915,0.0,0.0
916,0.0,0.0
917,0.0,0.0
918,0.0,0.0
919,0.0,0.0
920,295.01,0.4286
921,567.12,0.4286
922,793.23,0.4286
923,955.0,0.4286
924,1039.3,0.4286
925,1039.3,0.4286
926,955.0,0.4286
927,793.23,0.4286
928,567.12,0.4286
929,295.01,0.4286
930,0.0,0.0
931,0.0,0.0
932,0.0,0.0
933,0.0,0.0
934,0.0,0.0
935,0.0,0.0
936,0.0,0.0
937,0.0,0.0
938,0.0,0.0
939,0.0,0.0
940,0.0,0.0
941,0.0,0.0
942,0.0,0.0
943,1.86,0.0707
944,297.28,0.4286
945,568.67,0.4286
946,794.09,0.4286
947,955.32,0.4286
948,1039.34,0.4286
949,1039.34,0.4286
950,955.32,0.4286
951,794.09,0.4286
952,568.67,0.4286
953,297.28,0.4286
954,1.86,0.0707
955,0.0,0.0
956,0.0,0.0
957,0.0,0.0
958,0.0,0.0
959,0.0,0.0
960,0.0,0.0
961,0.0,0.0
962,0.0,0.0
963,0.0,0.0
964,0.0,0.0
965,0.0,0.0
966,0.0,0.0
967,4.78,0.1821
968,299.57,0.4286
969,570.23,0.4286
970,794.96,0.4286
971,955.65,0.4286
972,1039.37,0.4286
973,1039.37,0.4286
974,955.65,0.4286
975,794.96,0.4286
976,570.23,0.4286
977,299.57,0.4286
978,4.78,0.1821
979,0.0,0.0
980,0.0,0.0
981,0.0,0.0
982,0.0,0.0
983,0.0,0.0
984,0.0,0.0
985,0.0,0.0
986,0.0,0.0
987,0.0,0.0
988,0.0,0.0
989,0.0,0.0
990,0.0,0.0
991,7.74,0.2947
992,301.89,0.4286
993,571.81,0.4286
994,795.84,0.4286
995,955.99,0.4286
996,1039.41,0.4286
997,1039.41,0.4286
998,955.99,0.4286
999,795.84,0.4286
1000,571.81,0.4286
1001,301.89,0.4286
1002,7.74,0.2947
1003,0.0,0.0
1004,0.0,0.0
1005,0.0,0.0
1006,0.0,0.0
1007,0.0,0.0
1008,0.0,0.0
1009,0.0,0.0
1010,0.0,0.0
1011,0.0,0.0
1012,0.0,0.0
1013,0.0,0.0
1014,0.0,0.0
1015,10.19,0.3881
1016,289.02,0.4286
1017,544.73,0.4286
1018,756.88,0.4286
1019,908.51,0.4286
1020,987.48,0.4286
1021,987.48,0.4286
1022,908.51,0.4286
1023,756.88,0.4286
1024,544.73,0.4286
1025,289.02,0.4286
1026,10.19,0.3881
1027,0.0,0.0
1028,0.0,0.0
1029,0.0,0.0
1030,0.0,0.0
1031,0.0,0.0
1032,0.0,0.0
1033,0.0,0.0
1034,0.0,0.0
1035,0.0,0.0
1036,0.0,0.0
1037,0.0,0.0
1038,0.0,0.0
1039,13.74,0.4286
1040,306.59,0.4286
1041,575.01,0.4286
1042,797.61,0.4286
1043,956.66,0.4286
1044,1039.49,0.4286
1045,1039.49,0.4286
1046,956.66,0.4286
1047,797.61,0.4286
1048,575.01,0.4286
1049,306.59,0.4286
1050,13.74,0.4286
1051,0.0,0.0
1052,0.0,0.0
1053,0.0,0.0
1054,0.0,0.0
1055,0.0,0.0
1056,0.0,0.0
1057,0.0,0.0
1058,0.0,0.0
1059,0.0,0.0
1060,0.0,0.0
1061,0.0,0.0
1062,0.0,0.0
1063,16.79,0.4286
1064,308.97,0.4286
1065,576.63,0.4286
1066,798.51,0.4286
1067,957.01,0.4286
1068,1039.53,0.4286
1069,1039.53,0.4286
1070,957.01,0.4286
1071,798.51,0.4286
1072,576.63,0.4286
1073,308.97,0.4286
1074,16.79,0.4286
1075,0.0,0.0
1076,0.0,0.0
1077,0.0,0.0
1078,0.0,0.0
1079,0.0,0.0
1080,0.0,0.0
1081,0.0,0.0
1082,0.0,0.0
1083,0.0,0.0
1084,0.0,0.0
1085,0.0,0.0
1086,0.0,0.0
1087,19.86,0.4286
1088,311.37,0.4286
1089,578.26,0.4286
1090,799.42,0.4286
1091,957.35,0.4286
1092,1039.57,0.4286
1093,1039.57,0.4286
1094,957.35,0.4286
1095,799.42,0.4286
1096,578.26,0.4286
1097,311.37,0.4286
1098,19.86,0.4286
1099,0.0,0.0
1100,0.0,0.0
1101,0.0,0.0
1102,0.0,0.0
1103,0.0,0.0
1104,0.0,0.0
1105,0.0,0.0
1106,0.0,0.0
1107,0.0,0.0
1108,0.0,0.0
1109,0.0,0.0
1110,0.0,0.0
1111,22.96,0.4286
1112,313.79,0.4286
1113,579.91,0.4286
1114,800.33,0.4286
1115,957.7,0.4286
1116,1039.61,0.4286
1117,1039.61,0.4286
1118,957.7,0.4286
1119,800.33,0.4286
1120,579.91,0.4286
1121,313.79,0.4286
1122,22.96,0.4286
1123,0.0,0.0
1124,0.0,0.0
1125,0.0,0.0
1126,0.0,0.0
1127,0.0,0.0
1128,0.0,0.0
1129,0.0,0.0
1130,0.0,0.0
1131,0.0,0.0
1132,0.0,0.0
1133,0.0,0.0
1134,0.0,0.0
1135,26.08,0.4286
1136,316.23,0.4286
1137,581.56,0.4286
1138,801.25,0.4286
1139,958.05,0.4286
1140,1039.65,0.4286
1141,1039.65,0.4286
1142,958.05,0.4286
1143,801.25,0.4286
1144,581.56,0.4286
1145,316.23,0.4286
1146,26.08,0.4286
1147,0.0,0.0
1148,0.0,0.0
1149,0.0,0.0
1150,0.0,0.0
1151,0.0,0.0
1152,0.0,0.0
1153,0.0,0.0
1154,0.0,0.0
1155,0.0,0.0
1156,0.0,0.0
1157,0.0,0.0
1158,0.0,0.0
1159,29.22,0.4286
1160,318.68,0.4286
1161,583.23,0.4286
1162,802.17,0.4286
1163,958.4,0.4286
1164,1039.69,0.4286
1165,1039.69,0.4286
1166,958.4,0.4286
1167,802.17,0.4286
1168,583.23,0.4286
1169,318.68,0.4286
1170,29.22,0.4286
1171,0.0,0.0
1172,0.0,0.0
1173,0.0,0.0
1174,0.0,0.0
1175,0.0,0.0
1176,0.0,0.0
1177,0.0,0.0
1178,0.0,0.0
1179,0.0,0.0
1180,0.0,0.0
1181,0.0,0.0
1182,0.0,0.0
1183,30.77,0.4286
1184,305.1,0.4286
1185,555.66,0.4286
1186,762.95,0.4286
1187,910.81,0.4286
1188,987.74,0.4286
1189,987.74,0.4286
1190,910.81,0.4286
1191,762.95,0.4286
1192,555.66,0.4286
1193,305.1,0.4286
1194,30.77,0.4286
1195,0.0,0.0
1196,0.0,0.0
1197,0.0,0.0
1198,0.0,0.0
1199,0.0,0.0
1200,0.0,0.0
1201,0.0,0.0
1202,0.0,0.0
1203,0.0,0.0
1204,0.0,0.0
1205,0.0,0.0
1206,0.0,0.0
1207,35.58,0.4286
1208,323.64,0.4286
1209,586.59,0.4286
1210,804.03,0.4286
1211,959.1,0.4286
1212,1039.77,0.4286
1213,1039.77,0.4286
1214,959.1,0.4286
1215,804.03,0.4286
1216,586.59,0.4286
1217,323.64,0.4286
1218,35.58,0.4286
1219,0.0,0.0
1220,0.0,0.0
1221,0.0,0.0
1222,0.0,0.0
1223,0.0,0.0
1224,0.0,0.0
1225,0.0,0.0
1226,0.0,0.0
1227,0.0,0.0
1228,0.0,0.0
1229,0.0,0.0
1230,0.0,0.0
1231,38.78,0.4286
1232,326.13,0.4286
1233,588.28,0.4286
1234,804.97,0.4286
1235,959.46,0.4286
1236,1039.81,0.4286
1237,1039.81,0.4286
1238,959.46,0.4286
1239,804.97,0.4286
1240,588.28,0.4286
1241,326.13,0.4286
1242,38.78,0.4286
1243,0.0,0.0
1244,0.0,0.0
1245,0.0,0.0
1246,0.0,0.0
1247,0.0,0.0
1248,0.0,0.0
1249,0.0,0.0
1250,0.0,0.0
1251,0.0,0.0
1252,0.0,0.0
1253,0.0,0.0
1254,0.0,0.0
1255,42.01,0.4286
1256,328.64,0.4286
1257,589.98,0.4286
1258,805.91,0.4286
1259,959.82,0.4286
1260,1039.85,0.4286
1261,1039.85,0.4286
1262,959.82,0.4286
1263,805.91,0.4286
1264,589.98,0.4286
1265,328.64,0.4286
1266,42.01,0.4286
1267,0.0,0.0
1268,0.0,0.0
1269,0.0,0.0
1270,0.0,0.0
1271,0.0,0.0
1272,0.0,0.0
1273,0.0,0.0
1274,0.0,0.0
1275,0.0,0.0
1276,0.0,0.0
1277,0.0,0.0
1278,0.0,0.0
1279,45.25,0.4286
1280,331.16,0.4286
1281,591.69,0.4286
1282,806.86,0.4286
1283,960.18,0.4286
1284,1039.89,0.4286
1285,1039.89,0.4286
1286,960.18,0.4286
1287,806.86,0.4286
1288,591.69,0.4286
1289,331.16,0.4286
1290,45.25,0.4286
1291,0.0,0.0
1292,0.0,0.0
